References,Family,Status,ID Number,Name,Name UD,Illustration,Gloss,English equivalent,Russian equivalent,CEFR level,Definition in Ukrainian,Definition in English,Definition in Russian,Example 1,Example 2,Example 3,Example 4,Example 5,Morphology,Synt. type of construction,Synt. func. of anchor,Synt. structure of anchor,Part of speech of anchor,SemType1,SemSubType1,SemType2,SemSubType2,SemType3,SemSubType3,SemType4,SemSubType4,Semantic role,Communicative type,Usage label,Anchor words,Common fillers,Comment,Dependency Structure,Dependency Structure of Illustration,Actionality,Actuality,Additive,Addressee,Apprehension,Assessment,Attitude,Calculation,Caritive,Causation,Cause,Comitative,Comparison,Condition,Concession,Consequence,Degree of accuracy,Degree of intensity,Discourse structure,Epistemic modality (Degree of certainty),Exceptive,Exclusive,Inclusive,Instrument,Manner,Measure,Mirative,Non-existence,Non-Standard Subject,Options,Phase of action,Pluractionality,Polarity value,Possession,Prohibition,Purpose,Quantification,Reaction to the previous discourse,Request,Result,Root modality,Routine,Salient property,Source of information,Source of opinion,Spatial expression,Subset,Taxis,Temporal expression,Temporary characteristics,Timeline,Threat,Volition
,,,11,чим не NP-Nom Cop,,Чим не версія?,,As good an X as any! ,чем не NP-Nom Cop?,B2,"Конструкція має типове значення відпівідності [предмета]Theme, [події]Situation, [особи]Participant уявленню мовця про нього/неї","The construction has the typical meaning of correspondence of [subject]Theme, [event]Situation, [person]Participant to the speaker's idea of ​​them","Конструкция имеет типичное значение соответствия [субъекта]Theme, [события]Situation, [лица]Participant представлению говорящего о нем/ней.","Може, навіть побачишся зі своїм колишнім підопічним.Чим не [варіант]Theme?! (Кирило Круторогов ""Бомбардир"", 1990)","Чим не [реальний сценарій найближчого майбутнього]Theme? (Журнал""НВ"", 2019)","Для перевірки потримайте шматочок картоплі в роті і хвилин через 15 крохмаль розпадеться на прості вуглеводи, а в роті з'явиться солодкий смак - чим не [десерт з овочів]Theme? (Онлайн-ЗМІ ""UNIAN.NET"")","Ми тепер в світі номер три з виробництва меду. Dolcevita! Чим не [привід для гордості]Theme? (Журнал""НВ"", 2019)","А Новорічні свята - чим не [нагода показати усі свої кулінарні таланти]Situation? (Інтернет-газета""Високий замок"", 2011)",NP-Nom Cop?,Copula Construction,Praedicative Expression,Negation,"Pronoun, Negation Marker",,,,,,,,,,"Interrogative, Exclamatory",Colloqual,"чим, не",,,,,,,,,,"General assessment, Assessment in relation to norms/expectations",,,,,,,Equality,,,,,,,,,,,,,,,,,,,,Both Negative and Positive,,,,,,,,,,Matching the standard,,,,,,,,,,
,,,12,NP-Dat Cop не до NP-Gen,,Усім було не до сміху,,be not up to X,NP-Dat Cop не до NP-Gen,A2,Конструкція передає модально-заперечне значення небажання чи неможливості [учасника]Participant зайнятися [деякою справою чи питанням]Theme або звернути увагу на [когось/щось]Theme. ,The construction conveys the modally negative meaning of the Participant's reluctance or inability to engage in [some business or issue] Theme or to pay attention to [something/someone] Theme.,Конструкция передает модально-отрицательное значение нежелания или невозможности [участника]Participant заняться [некоторым делом или вопросом] Theme или обратить внимание на [кого-то] Theme.,"- Сергію, ви ж сьогодні пішли з дому не снідавши. -- A-а, не до [сніданку мені зараз]Theme. Потім їстиму. (Анатолій Шиян ""Вечірня пісня"", 1961) ","Мати скрушно похитала головою і з таким жалем подивилася, наче мене тяжко покалічили на все життя. Бачу, тут уже не до [жартів]Theme. (Борис Антоненко-Давидович ""Цлово матері"", 1964)","Обом жінкам у ці хвилини було не до [гостя]Theme, і Віктор, піднявши коробку, рушив геть, бажаючи тепер єдиного — як найшвидше зникнути звідси. (Олексій Волков ""Переможець отримує все"", 2004) ","Але коли наприкінці кліпу боксер, пританцьовуючи, підходить до однієї з жінок у барі, її кавалеру стає не до [сміху]Theme, і він одразу зникає. (Онлайн-ЗМІ ""Табло ID"", 2009)","Таке порівняння зовсім не до [речі]Theme. (Олександр Вишнівський ""Трагедія 3-ої дивізії армії УНР"", 1963) ","NP-Dat Cop, NP-Gen",Copula Construction,Praedicative Expression,Negation,"Negation Marker, Preposition",,,,,,,,,,Declarative,Colloqual,"не, до ",,,,,,,,,,,Acceptance,,,,,,,,,,,,,,,,,,,,,,,,,,Negative,,,,,,,,,,,,,,,,,,,,
,,,13,"(NP-Dat) здається/здавалося, (що) Cl",,"Мені здається, що він щасливий.",,it seems/seemed to X that,"(NP-Dat) кажется/казалось, (что) Cl",А2,"Конструкція вживається для вираження припущення, непевності [того, хто говорить, або іншого учасника]Experiencer в [інформації]Evaluation, яку він повідомляє. ","The construction is used to express the assumption, uncertainty [of the speaker or other participant]Experiencer in the [information]Evaluation that he reports.","Конструкция используется для выражения предположения, неуверенности [говорящего или другого участника]Experiencer в [информации]Evaluation, которую он сообщает.","Проте [мені]Experiencer здається, [підстав не довіряти йому — немає]Evaluation. (Андрій Гарасим ""Борги нашого життя"", 2016)         ","[Мені]Experiencer здається, [що в уряді є фахові економісти]Evaluation. (Онлайн-ЗМІ «UNIAN.NET», 2008)          ","Наразі цей сценарій, на думку [автора]Experiencer, здається [малоймовірним]Evaluation. (Онлайн-ЗМІ «UNIAN.NET», 2020)        ","Я її не бачив трохи більше ніж півроку, а здається, що [вічність]Evaluation. (Світлана Талан ""Спокута"", 2017)        ","Здавалось, [її лист потрапив до іншої людини]Evaluation. (Олексій Волков ""Гра у три руки"", 2016)               ",Cl,Clause or XP with parentheticals,Parenthetical,Not Applicable,"Verb, Conjunction",,,,,,,,,,Declarative,,"здається, здавалося, що ",,,,,,,,,,,,,,,,,,,,,,,,Low degree of certainty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,14,NP-Nom Cop на носі (носу),,На носі другий семестр.,,X around the corner,NP-Nom Cop на носу,A1,"Конструкція означає, що така собі [ситуація]Situation чи [подія]Event вже близько до моменту створення, відбудеться дуже скоро, в найближчому майбутньому.","The construction means that [situation]Situation or [event]Event is already close to the moment of creation, will happen soon, in the near future.","Конструкция обозначает, что некая [ситуация]Situation или [событие]Event произойдут очень скоро, в ближайшем будущем.   ","А я он їздив дещо для бджіл купити — [літо]Situation на носі. (Олексій Волков, ""Виконавець"", 1993)","І [випускні екзамени]Event на носі , – слідчий зиркнув на телефон, мабуть, чекав, що він от-от задзвонить. (Віктор Тимчук ""Ловці манекенів"", 1990)","А на носі, у 2010 році, [кругла дата]Event – століття виникнення хокею в Україні ....(Інтернет-газета «Український тиждень», 2009)","На носу [поїздка до Бельгії]Event, симпозіум з підприємництва. (Інтернет-газета «Кримська світлиця», 2002)","Тобі ж вже [дев'яносто років]Situation на носі! (Анджей Пилип'юк ""Хроніки Якуба Вендровича"", 2013)",NP-Nom Cop ,Copula Construction,Praedicative Expression,Prepositional Phrase,"Preposition, Noun",,,,,,,,,,Declarative,Colloqual,"на, носі (носу)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Near future,,
,,,15,VP (не) з порожніми руками,,Він не з порожніми руками приходив: гостинці дітям приносив.,,X (not) empty-handed,VP (не) с пустыми руками,С1,"Конструкція вживається, коли в [учасника]Participant будь-якої [ситуації]Action немає [нічого]Theme при собі, що він може передати [іншому учаснику]Recipient або отримати від [нього]Source. Конструкція також описує [ситуацію]Action, коли [учасник]Participant нічого не досяг у результаті деякої [діяльності]Action.",The construction is used when the [participant]Participant of any [situation]Action carries [nothing]Theme that he/she can pass to [another participant]Recipient or receive from [him/her]Source. The construction also describes the [situation]Action when the [participant]Participant has achieved nothing as a result of some [activity]Action.,"Конструкция используется, когда у [участника]Participant некоторой [ситуации]Action нет [ничего]Theme при себе, что он может передать [другому участнику]Recipient или получить от [него]Source. Конструкция также описывает [ситуацию]Action, когда [участник]Participant ничего не достиг в результате некоторой [деятельности]Action.","[Ми]Participant намагаємося [не приходити в гості]Action з порожніми руками – на подарунки до зимових свят витратили за всі роки майже три мільйони гривень. (Інтернет-газета ""Високий замок"", 2007)","Кожної ночі [нападали]Action [вони]Participant на [село]Source і ніколи [не поверталися]Action з порожніми руками. (""Угорські народні казки"", 1985)","Від того часу [я]Participant кілька тижнів на роботі з порожніми руками [з цеху]Source не виходив. Тримав або молоток, або довгу викрутку. (Іван Kривуцький ""За полярним колом"", 2001).","[Депутати]Participant [вручили малюкам подарунки]Action, та й самі [не пішли]Action з порожніми руками: від [вихованців]Source отримали власноруч виготовлену ялинку. (Онлайн-ЗМІ ""ПРОЧЕРК.інфо"", 2011)","Втім, це все для дорослих роздумів, натомість [малі]Participant теж [не лишаться]Action з порожніми руками – для них автори стрічки пропонують легкий гумор, цікаві пригоди й красиву картинку. (Інтернет-газета «Український тиждень», 2001)",VP ,Head and Modifier Construction,Modifier,"Negation, Prepositional Phrase","Preposition, Noun, Adjective, Negation Marker",,,,,,,,,,Not applicable,,"з, порожніми, руками",,,,,,,,,,,,,Manner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,16,VP за допомогою NP-Gen,,Це легко перевірити за допомогою секундоміра.,,V with the help of X,VP с помощью/при помощи NP-Gen,В1,"Конструкція позначає [дія]Action, яку учасник виконує, використовуючи певний [інструмент]Instrument. Як інструмент може виступати фізичний об'єкт, дія, явище.","The construction denotes an [action]Action that a participant performs using a particular [instrument]Instrument. A physical object, action, phenomenon can act as an instrument.","Конструкция обозначает [действие]Action, которое участник выполняет, используя некоторый [инструмент]Instrument. В качестве инструмента может выступать физический объект, действие, явление. ","За допомогою [28 пластинок доміно]Instrument [складіть]Action показану на малюнку фігуру. (Журнал «Наука і суспільство», 1990)","Повідомлення такого змісту масово [розсилаються]Action за допомогою [Інтернету]Instrument. (Онлайн-ЗМІ «Zaxid.net», 2007)","Ми [збираємося говорити]Action про цю проблему за допомогою [медіа]Instrument, зробити інформаційні бюлетні та дні відкритих дверей у поліклініках міста. (Онлайн-ЗМІ «Zaxid.net», 2007) ","За допомогою [відеокамер та екрану пульта управління]Instrument за цим [спостерігає]Action оператор чи керівник навчань. (Онлайн-ЗМІ «Zaxid.net», 2007)","[Обновити]Action вихідне вбрання, в якому ви вже були на вечірках, можна за допомогою [нових аксесуарів]Instrument. (Інтернет-газета «Високий замок», 2007)","VP, NP-Gen",Head and Modifier Construction,Modifier,Nominal Pattern,"Preposition, Noun",,,,,,,,,,Not applicable,,"за, допомогою ",,,,,,,,,,,,,,,Instrument,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,17,NP-Acc звати-Inf NP-Ins/NP-Nom,,"Його звуть Михайлом, як і мене.",,Х's name is ,NP-Acc звать Inf NP-Ins/NP-Nom,А1,"Конструкція означає, що [учасник]Participant має конкретне [ім'я]Property.",The construct denotes that some [participant]Participant has a particular [name]Property.,"Конструкция обозначает, что у [некоторого участника]Participant есть конкретное [имя]Property.","Ми можемо познайомитись, [мене]Participant звати [Андрій]Property... (Неда Неждана ""Коли повертається дощ"", 2011)","Дізнавшись, що [її]Participant звуть [Тетянкою]Property, він спитав, чого б вона хотіла зараз. (Ганна Матійко ""Квіти дружби"" (збірка), 1958)","[Мене]Participant звати [Райнер Граф]Property, я завідувач лабораторії і вхожу до комісії з розглядів проектів, що подані на грант. (Лариса Денисенко ""Відлуння: від загиблого діда до померлого"", 2011)","Інстинкт чи надмірний оптимізм? А може, це [нез'ясовне інтуїтивне пізнання істини]Participant, яке звуть [передбаченням]Property? (Андрій Гуляшки ""Коштовний камінь"", 1958)","Ту [бригаду]Participant в народі звали [«Червона мітла»]Property. (Микола Зінчук ""Скарбниці пам’яті"", 2012)","NP-Acc, Inf NP-Ins/NP-Nom",Predicate Argument Construction,Verb Predicate,Not Applicable,Verb,,,,,,,,,,Not applicable,Colloquial,звати,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naming,,,,,,,,,,
,,,18,нівроку NP-Dat,,"Tи, молодичко, нівроку тобі, проворна, роботяща.",,not to wish bad to X,не сглазить NP-Dat,C1,"Конструкція вживається для вираження побажання не принести горя, не наврочити [кому-небудь]Recipient своїми словами.","The construction is used to express a desire not to wish [anyone]Recipient bad, not to offend [anyone]Recipient with one's words.","Конструкция используется для выражения пожелания не принести горя, не сглазить [кого-либо]Recipient своими словами.","А [обиватель]Recipient, нівроку собі, жартами розважається. (Сергій Єфремов ""Щоденник"", 1925)","Приступила ближче до постелі: — Тьху-тьху ! Нівроку , аби [тобі]Recipient не наврочила. (Петро Лінтур ""Зачаровані казкою: Українські народні казки Закарпаття"", 1969)","Загалом це були [люди]Recipient віком від двадцяти до сорока років, смагляві і зовсім білошкірі, худорляві і нівроку собі. (Віктор Савченко ""Діти Мардука"", 2014)","Нівроку, але [вона]Recipient ще зовсім дитина. {Ярема Ткачук ""Буревії. Книга пам'яті"", 2004)","[Чоловіки]Recipient ж, нівроку їм, боягузливі, чи не так? (Оскар Уайльд ""Як важливо бути поважним"", 2006)",NP-Dat,Predicate Argument Construction,Argument,???,Adverb????,,,,,,,,,,Not applicable,Colloquial,нівроку,,,,,,,,Beneficiary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,19,"таким чином, Cl",,"Таким чином, усі задоволені.",,"so that, as a result","таким образом, Cl",А2,Конструкція узагальнює наведену інформацію та містить [висновок]Theme.,The construction summarizes the given information and contains [conclusion]Theme.,Конструкция обобщает приведенную информацию и содержит [вывод]Theme.,"Таким чином, [нарешті Максим лишився на самоті з собою]Theme. (Іван Багряний ""Людина біжить над прірвою"",1992) Mova ","Таким чином, [права людини стають необхідним стандартом у стосунках індивідів між собою і державною владою]Theme. (А. Г. Карась ""Роль релігійних цінностей у процесі формування права"", 2010)","Таким чином, [ми маємо можливість користуватися реальними даними про радіаційну обстановку в країні в будь-який момент]Theme. (Журнал ""Наука і суспільство"", 1990)","Діжа лаштував своє кімнатне майно таким чином, [щоб ранок приносив радість для ока]Theme. (П. Загребельний ""День для прийдешнього"", 1963) MOVA ","Таким чином, [перетворення речовини в енерґію — це ще не зникнення матерії]Theme. (Микола Руденко ""Енерґія проґресу"" (Нариси з фізичної економії), 2004)",Cl,Clause or XP with parentheticals,Parenthetical,Not Applicable,"Noun, Pronoun",,,,,,,,,,Declarative,Formal,"таким, чином",,,,,,,,,,,,,,,,,,,,,,,Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,20,"NP, в/у тому числі NP",,"Він успішно склав екзамени з усіх предметів, у тому числі з української мови.",,including...,"NP, в том числе (и) NP",В1,"Конструкція використовується для того, щоб вказати важливий на думку мовника [елемент] Element, який серед інших входить до деякої [множини] Set.","The construction is used to indicate an important [element]Element in the opinion of the speaker, which, among others, is included in some [set]Set.","Конструкция используется для того, чтобы указать важный по мнению говорящего [элемент]Element, который среди прочих входит в некоe [множество]Set.","У ньому є хороші [пісні]Set, в тому числі [україномовні]Element. (Інтернет-газета «Високий замок», 2007)","Автор понад [200 наукових праць]Set, у тому числі [5 монографіElement. (Газета «Слово», 2012)","Я побував у багатьох [країнах]Set, у тому числі у [наших сусідів]Element. (Газета «День», 1999)","Він заявляв, що результати його експериментів можуть сприяти пошуку ліків від [цілого ряду захворювань]Set, у тому числі [діабету й хвороби Паркінсона]Element. (Газета ""День"", 2005)","Адже [художня література]Set (в тому числі й [історичний її жанр]Element) розвивається за своїми законами, відмінними від законів жанру науково-популярного. (М. Брайченко ""Життя Веласкеса"", 1967)",NP,Connection Construction,Coordinator,Multiword Conjunction,"Preposition, Pronoun, Noun, Particle",,,,,,,,,,Not applicable,,"в, том, числе",,,,,,,,,,,,,,,,,,,,,,,,,,,Inclusive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,21,NP-Nom відрізнятися NP-Ins,,"Новий iPhone відрізняється й іншими функціями, що полегшують роботу з сервісами соцмережі.",,X is distinquished by Y,NP-Nom отличаться NP-Ins,B1,"Конструкція підкреслює, що [об'єкт]Object або [обличчя]Participant не схожий на інші і має будь-яку [відмітну ознаку, особливість]Property, що створює різницю між даною особою, предметом та іншими.","The construction emphasizes that the [object]Object or [person]Participant is not similar to others and has some kind of [distinguishing feature, feature]Property that creates a difference between this person, object and others of this kind.","Конструкция подчеркивает, что [объект]Object или [лицо]Participant не похож на другие и имеет какой-либо [отличительный признак, особенность]Property, создающий разницу между данным лицом, предметом и другими.","І навіть якщо Ваше [авто]Object відрізняється [якістю і надійністю]Property, через певний час в ньому все одно доведеться міняти деякі деталі. (Онлайн-ЗМІ «Новини Хмельницького «Є»», 2020)","[Серіали минулого року]Object відрізняються [великою різноманітністю тем]Property. (Онлайн-ЗМІ «UNIAN.NET», 2021)","Кожен з цих [типів носіїв]Object відрізняється [цілим переліком своїх особливостей]Property. (Онлайн-ЗМІ «Житомир.info», 2021) ","Є декілька рівнів [переговорів]Object, між собою вони відрізняються [рівнем особистої залученості кожного учасників}Property. (Онлайн-ЗМІ «LB.ua», 2020)","[""Жайворонки""]Participant були менш сонливі і відрізнялися [найшвидшою реакцією]Property під час проведення ранкових тестів. [Вони]Participant також відрізнялися [кращою працездатністю]Property, ніж ""сови"". (Онлайн-ЗМІ «UNIAN.NET», 2019) ","NP-Nom, NP-Ins",Predicate Argument Construction,Verb Predicate,Not Applicable,Verb,,,,,,,,,,Not applicable,,відрізнятися,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Property assignment,,,,,,,,,,
,,,22,"на той час Cl, NP",,Однак на той час це було вже неможливо,,at that time,"в то время Cl, NP",A2,"Конструкція означає, що [ситуація]Situation або [дія]Action, відбувається колись у минулому чи в майбутньому; не тепер. Іноді може йтися про [стан або ознаку]Property, властиву об'єкту в минулому (Приклад 5)",The construction means that [situation]Situation or [action]Action takes place sometime in the past or in the future; not now. Sometimes the construction can describe [a state or feature characteristic]Property of an object in the past (Example 5),"Конструкция означает, что [ситуация]Situation или [действие]Action происходила когда-то в прошлом или произойдет в будущем; не сейчас. Иногда речь может идти о [состоянии или признаке]Property, присущем обьекту в прошлом (Пример 5)","А мені на той час [було важко ще розбирати українську мову]Action. (Антал Гідаш ""Письменник-інтернаціоналіст"", 1967)   ","Двоюрідна сестра Лешека на той час [мала десять років і весь час сиділа десь у куточку]Situation. (Анна Хома ""Терези"", 1976)","На той час [іноземець гостював у родичів]Situation, місцевих жителів. (Онлайн-ЗМІ «UNIAN.NET», 2020)","І, можливо, відкласти покращення свого соціального рівня на ті часи, [коли економіка почне розвиватися]Situation. (Онлайн-ЗМІ «Gazeta.ua», 2022)","Саме тоді брат, на той час [військовий льотчик]Property, привіз йому [незвичний]Property на той час подарунок. (Онлайн-ЗМІ «Новини Хмельницького «Є»», 2009) ","Cl, NP",Matrix and Sentential Complement Construction,Matrix Predicate,Prepositional Phrase,"Preposition, Pronoun, Noun",,,,,,,,,,Declarative,,"на, той, час ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Distant) past,,
,,,23,Cl в/у той час як Cl,,"Вона говорила по телефону, у той час як він готував вечерю.",,X while Y,Cl в то время как Cl,B1,"Конструкція означає, що дві [ситуації]Situation відбуваються одночасно, або можуть бути протиставлені одна одної.","The construction means that two [situations]Situation occur simultaneously, or can be opposed to each other.","Конструкция обозначает, что две [ситуации]Situation происходят одновременно, или могут быть противопоставлены друг другу.","Цього року [головний приз взяла Toyota Corolla]Situation, в той час як [Honda CR-V став першим в категорії кросоверів]Situation. (Онлайн-ЗМІ «UNIAN.NET», 2019)","Тому що ви [можете приймати рішення відразу]Situation в той час, коли [це рішення є найцінніше]Situation. (Журнал «НВ», 2020)","[Серед інших наук виділив математику]Situation і вже в той час [почав займатися математичним моделюванням]Situation. (Газета «День», 2011)","В той час як [мистецтво стає фоном]Situation, [Instagram може змінити фон віртуальними засобами]Situation. (Онлайн-ЗМІ «LB.ua», 2020)","Як показують дослідження, [здоровий сон допомагає поліпшити когнітивні здібності]Situation, в той час як [недолік сну негативно впливає на пам'ять]Situation. (Журнал «НВ», 2016)",Cl,Matrix and Sentential Complement Construction,Matrix Predicate,Prepositional Phrase,"Preposition, Pronoun, Noun, Conjunction",,,,,,,,,,Declarative,,"в/у, той, час, як",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Simultaneous action,,,,,
,,,24,на відміну від NP-Gen Cl,,На відміну від інших він не боявся темряви.,,X unlike Y,в отличие от NP-Gen Cl,В2,"Конструкція використовується для порівняння чи протиставлення двох об'єктів чи учасників. [Один об'єкт або учасник]Comparee [влаштований]Property або [поводиться]Situation не так, як [інший]Standard, і ця риса відрізняє певний предмет, явище тощо від іншого.","The construction is used to compare or contrast two objects or participants. [One object or participant]Comparee [has]Property or [behaves]Situation not like [another]Standard, and this feature distinguishes a certain object, phenomenon, etc. from another.","Конструкция используется для сравнения или противопоставления двух объектов или участников. [Один объект или участник]Comparee [устроен]Property или [ведет себя]Situation не так, как [другой]Standard, и эта черта отличает определенный предмет, явление и тому подобное от другого.","[Він]Comparee, на відміну від [свого батька]Standart, [підтримував зв'язки з ріднею]Situation, що залишилася в далекому селі. (Іво Андрич ""Драма в Олуяку"", 1961)   ","На відміну від [Redmi Note 5 Pro]Standart, [Mi A2]Comparee [буде поставлятися з портом USB C]Situation. (Журнал «НВ», 2018) ","На відміну від [ведмедя]Standart, [борсуки]Comparee [іноді встають серед зими, в теплі дні навіть на сніг вилазять]Situation. (Анатолій Давидов  ""Експедиція «Суничка"", 1971) ","На відміну від [минулих років]Standard, [ілюмінація]Comparee [горітиме цілодобово]Situation, а не тільки вночі. (Онлайн-ЗМІ «UNIAN.NET», 2012) ","На думку чиновника, [хеві-метал]Comparee [не отримує належної поваги]Situation, на відміну від [класичної музики або джазу]Standard. (Журнал «НВ», 2019)",NP-Gen Cl,Clause and Modifier Construction,Modifier ,Nominal Pattern,"Preposition, Noun",,,,,,,,,,Not applicable,,"на, відміну, від ",,,,,,,,,,,,,,,,,Contrast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,25,Cl у зв'язку з NP-Ins,,У зв'язку з перекриттям вулиць рух транспорту буде організовано із змінами .,,in connection with,Cl в связи с NP-Ins,B1,"Конструкція підкреслює [причину]Cause виникнення деякої [ситуації]Situation, або вказує на відповідність, співвідношення двох ситуацій, їх причинно-наслідкові відносини. Конструкція використовується у офіційно-діловому стилі.","The construction emphasizes the [cause]Cause of the occurrence of some [situation]Situation, or indicates the correspondence, the interdependence of two situations, their cause-and-effect relationship. The construction belongs to formal style.","Конструкция подчеркивает [причину]Cause возникновения некоторой [ситуации]Situation, или указывает на соответствие, соотношение двух ситуаций, их причинно-следственные отношения. Конструкция используется в официально-деловом стиле.","""Ми не відчуваємо нервозності у зв'язку з [цим]Cause, [діємо вивірено]Situation"", - сказав він. (Інтернет-газета «Європейська правда», 2014) ","Коротше, [ми сьогодні писатимемо рапорти про розірвання контракту]Situation у зв'язку з [недотриманням умов]Cause... (Онлайн-ЗМІ «24 канал», 2022) ","На американському ринку запанувала думка про те, що [землетрус у Японії сильно не порушить світовий ріст і навіть може забезпечити американські компанії замовленнями]Situation, у зв'язку з [усуненням наслідків природної катастрофи]Cause. (Онлайн-ЗМІ «UNIAN.NET», 2011) ","У Китаї у зв'язку з [епідемією смертельного коронавірусу]Cause [почали дезінфікувати цілі райони]Situation.  (Журнал «НВ», 2020) ","Нагадаємо, в Україні у липні у зв'язку з [підвищенням прожиткового мінімуму]Cause [планують підняти пенсії]Situation. (Онлайн-ЗМІ «Апостроф», 2022) ","Cl, NP-Ins",Clause and Modifier Construction,Modifier ,Nominal Pattern,"Preposition, Noun",,,,,,,,,,Declarative,Formal,"у, зв'язку, з",,,,,,,,,,,,,,,Cause,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,26,до того ж XP/Cl ,,До того ж цей вечір видався якийсь незвичайний.,,besides,к тому же XP/Cl ,А2,"Конструкція вводить [інформацію]ContentOfSpeech, яка доповнює сказане раніше. Слот ХР зазвичай заповнюється іменною, прийменниковою чи дієслівною групою.","This construction introduces [an additional piece of information]ContentOfSpeech that elaborates what has been previously said. The XP slot usually fills with a noun phrase, a prepositional phrase or verb phrase","Конструкция вводит [информацию]ContentOfSpeech, которая дополняет сказанное ранее. Слот ХР обычно заполняется именной, предложной или глагольной группой.","Маска є фактором захисту, першим бар'єром для потрапляння збудника вірусу до організму"", – зазначає експерт. До того ж, [маску не потрібно носити цілодобово]ContentOfSpeech, – заспокоює він. (Онлайн-ЗМІ «Українська правда», 2021) ","Поділився з мамою тими грішми на половину, адже всяке могло статися в дорозі.  До того ж [у мене були свої плани]ContentOfSpeech. (Ярема Ткачук ""Буревії. Книга пам'яті"", 2004)","Тому що був різкий підвищений стресовий стан, який акумулював всі обмінні процеси організму. До того ж [тоді багатьом їсти просто не хотілося]ContentOfSpeech. (Онлайн-ЗМІ «20 хвилин», 2022)","Ми тепер розуміємо, з ким співпрацюємо та готові надати всебічну підтримку вашій громаді. До того ж [ми отримали ще один бонус від цієї поїздки]ContentOfSpeech. (Онлайн-ЗМІ «ЮжкаNews.Сity», 2022)","Якщо дізнається наша господарка про те, що тут був хлопець, нам усім дістанеться на горіхи. До того ж, [мені було якось ніяково]ContentOfSpeech. (Світлана Талан ""Не вурдалаки"", 2012)",XP/Cl ,Connection Construction,Coordinator,Multiword Conjunction,"Preposition, Pronoun, Particle",,,,,,,,,,Declarative,,"до, того, ж ",NA,,,,,,,,,,,,,,,,,,,,,,Discourse additive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,27,NP на чолі з NP-Ins,,Вчора завершився візит делегації на чолі з губернатором міста.,,X headed by Y,NP во главе с NP-Ins,B2,"Конструкція вказує на те, що [групою людей чи організацією]Theme керує певний [учасник]Agent, який зазвичай має особливий статус і повноваження.","The construction indicates that a [group of people or organization]Theme is managed by a particular [participant]Agent, who usually has special status and authority.","Конструкция указывает, что [группой людей или организацией]Theme руководит определенный [участник]Agent, обычно имеющий особый статус и полномочия.","До [складу місії]Theme увійшло 14 осіб на чолі з [керівником МАГАТЕ Рафаелем Гроссі]Agent. (Онлайн-ЗМІ «РБК-UA», 2022) ","[Українська делегація]Theme на чолі з [міністром інфраструктури]Agent вже прибула до Стамбула на переговори про розблокування експорту зерна. (Онлайн-ЗМІ «Громадське телебачення», 2022) ","Я побачила [невеличкий загін солдатів у австрійських формах]Theme на чолі з [чоловіком]Agent, який оце запитував]Agent. (Михайло Яворський ""Поцілунок Лева"", 2006}","[Вчені]Theme на чолі з [доктором Карін Совада]Agent з Університету Маккуорі вивчили мумію, яка зберігається в музеї Сіднейського університету. (Журнал «НВ», 2021)","Він оглянувся лише тоді, коли за спиною у нього зібрався [чималий натовп]Theme на чолі з [дідом Зосимом]Agent. (Петро Лущик ""Поміж двох орлів"", 2017)","NP, NP-Ins",Head and Modifier Construction,Modifier ,Nominal Pattern,"Preposition, Noun",,,,,,,,,,Not applicable,,"на, чолі, з",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Status,,,,,,,,,,
